,0,1,2
0,Assiniboia Downs,2025-07-01,inside
1,Belterra Park,2025-07-03,inside
2,Camarero Race Track,2025-07-03,inside
3,Camarero Race Track,2025-07-05,inside
4,Century Mile,2025-07-04,inside
5,Century Mile,2025-07-05,inside
6,Delaware Park,2025-07-04,inside
7,Ellis Park,2025-07-05,inside
8,Fairmount Park,2025-07-01,inside
9,Finger Lakes,2025-07-01,inside
10,Grants Pass,2025-07-04,inside
11,Gulfstream Park,2025-07-04,inside
12,Harrah'S Columbus Nebraska,2025-07-04,inside
13,Hawthorne,2025-07-06,inside
14,Horseshoe Indianapolis,2025-07-04,inside
15,Los Alamitos,2025-07-05,outside
16,Los Alamitos,2025-07-06,outside
17,Louisiana Downs,2025-07-05,inside
18,Penn National,2025-07-04,inside
19,Penn National,2025-07-05,inside
20,Presque Isle Downs,2025-07-02,inside
21,Presque Isle Downs,2025-07-03,inside
22,Retama Park,2025-07-02,outside
23,Retama Park,2025-07-03,inside
24,Saratoga,2025-07-04,inside
25,Thistledown,2025-07-03,inside
