last_raced,pgm,horse_name,jockey,wgt_me,pp,start,quarter,half,three_quarter,str,fin,odds,comments,track_name,date,race_number
23Jun25 'ASD',7,DQ-I Am Mila,"Balroop, Sven",123 L b,7,1.0,3.0,3.0,,2.0,1.0,4.55,"stk duel otsd,drftd in",Assiniboia Downs,08-07-2025,1
27May25 'ASD',2,Mineral Rights,"Pruitt, Ciera",113 L,2,4.0,4.0,4.0,,3.0,2.0,6.3,"stk duel insd,rail rly",Assiniboia Downs,08-07-2025,1
11Jun25 'ASD',4,Midnightcandystorm,"Dalrymple, Dario",123 L,4,6.0,7.0,7.0,,6.0,3.0,8.7,"otsd turn, fin well",Assiniboia Downs,08-07-2025,1
10Jun25 'ASD',6,Yellow Birdie,"Bynoe, Damario",121 L b,6,2.0,2.0,1.0,,1.0,4.0,1.35,"dbl duel,drftd in late",Assiniboia Downs,08-07-2025,1
20May25 'ASD',1,Olive's Candy,"Knights, Rachaad",121 L,1,5.0,6.0,6.0,,5.0,5.0,8.2,"off rail, wide rally",Assiniboia Downs,08-07-2025,1
24May25 'EDR',5,Miss Charge It,"Badrie, Prayven",123 L h,5,3.0,1.0,2.0,,4.0,6.0,3.95,"dueled insd, gave way",Assiniboia Downs,08-07-2025,1
30May25 'LEG',3,Destined to Dance,"Whitehall, Antonio",121 L,3,7.0,5.0,5.0,,7.0,7.0,38.05,"4-5-wd, faded",Assiniboia Downs,08-07-2025,1
24Jun25 'ASD',4,Coal Boy,"Bynoe, Damario",117 L,3,6.0,6.0,6.0,,2.0,1.0,6.1,"bmp,chkd brk,gd rly",Assiniboia Downs,08-07-2025,2
17Jun25 'ASD',7,Bottle Caps,"Whitehall, Antonio",122 L b,6,2.0,5.0,4.0,,4.0,2.0,1.25,"6-wd, rallied",Assiniboia Downs,08-07-2025,2
24Jun25 'ASD',6,Shocking Malice,"Bennett, Mathew",123 L,5,1.0,4.0,5.0,,6.0,3.0,4.7,"5-wd, rly off rail",Assiniboia Downs,08-07-2025,2
9Sep24 'ASD',5,Heysweetdarlin,"Cumberbatch, Renaldo",120 L f,4,3.0,1.0,1.0,,1.0,4.0,3.6,"bmpd brk, insd spd",Assiniboia Downs,08-07-2025,2
17Jun25 'ASD',3,Air Force Reserve,"Parris, Sachin",117 L,2,4.0,3.0,3.0,,5.0,5.0,12.5,"bmpd brk,prssd 3-wd",Assiniboia Downs,08-07-2025,2
18Jun25 'ASD',2,Red Road Runner,"Knights, Rachaad",120 L b,1,5.0,2.0,2.0,,3.0,6.0,7.05,"brk slo,stdied,btw hrs",Assiniboia Downs,08-07-2025,2
9Jun24 5SA3,5,Apple Fest,"Knights, Rachaad",123 --,5,2.0,1.0,15.0,,,14.0,2.85,"lone spd, held well",Assiniboia Downs,08-07-2025,3
22May25 5CD3,1,Ez Tree Ates,"Bynoe, Damario",117 Lb,1,8.0,8.0,,2.0,2.0,1.0,0.25,"brk slo, 5-wd, fin wel",Assiniboia Downs,08-07-2025,3
18Jun25 5ASD2,7,Mini Glazed Donut,"Ali, Ronald",122 L,7,1.0,5.0,,,,3.0,24.4,gave best otsd,Assiniboia Downs,08-07-2025,3
10Jun25 6ASD2,3,She's a Rowski,"Cumberbatch, Renaldo",120 Lb,3,4.0,4.0,,6.0,,4.0,34.2,"insd, belated rly",Assiniboia Downs,08-07-2025,3
10Jun25 6ASD4,2,Cyber Storm,"Townsend, Shavon",123 L,2,5.0,,3.0,3.0,,5.0,41.75,"insd, tired stretch",Assiniboia Downs,08-07-2025,3
2May25 3LRL7,6,Cundi,"Parris, Sachin",118 Lb,6,6.0,,7.0,,,6.0,93.05,showed little,Assiniboia Downs,08-07-2025,3
23Jun25 4ASD3,8,Sundance Sally,"Stephenson, Neville",123 f,8,3.0,,4.0,,,7.0,94.05,wel plcd btw hrs.faded,Assiniboia Downs,08-07-2025,3
10Jun25 6ASD3,4,Twilight Ride,"Pruitt, Ciera",113 L,4,7.0,6.0,8.0,8.0,,8.0,72.7,"brk thru gte, reloaded",Assiniboia Downs,08-07-2025,3
17Jun25 ³ASD²,3,Nikkitysplit,"Knights, Rachaad",120 --,3,1.0,1.0,1.0,1.0,1.0,1.0,0.05,"lone spd, drew out",Assiniboia Downs,08-07-2025,4
