last_track_name,date,bias_type,horse_name,pp,fin,odds,odds_rank,comment,horse_name_clean,Track,Race,Jockey,Trainer,Owner,PPs
Delaware Park,2025-07-04,inside,White Series,4,2.0,10.5,5.0,"3p, bid, no match",white series,Hollywood Casino At Charles Town Races,5.0,"Lyapustina, Tais","Maldonado, Jonathan",Gabriella Wilhelm,ADD TO CART
Fairmount Park,2025-07-01,inside,Span,5,2.0,4.8,4.0,"4p5/16,fan9p str,rally",span,Fairmount Park,3.0,"Ortega, Harold","Blea III, Anthony",Freduh Davis,ADD TO CART
Fairmount Park,2025-07-01,inside,Lemon Drop Shot,9,1.0,3.9,3.0,"4-3p,bid1/4,drew clear",lemon drop shot,Fairmount Park,8.0,"Reyes, Frank","Bahena, Fernando","Odis Grimes, Jr.",ADD TO CART
Fairmount Park,2025-07-01,inside,Granddaddylonglegs,5,3.0,11.4,7.0,"ins,lost ld5/16,4p str",granddaddylonglegs,Fairmount Park,4.0,"Hernandez, Israel","Rodriguez, Jose",J & N Thoroughbreds LLC (Jose G. Rodriguez),ADD TO CART
Fairmount Park,2025-07-01,inside,Highly Perfect,4,4.0,21.6,8.0,"chase ins-3p,faded str",highly perfect,Fairmount Park,5.0,"Wales, Travis","Martinez, Ralph",Aaron S. Reese Enterprises LLC (Aaron S. Reese),ADD TO CART
Fairmount Park,2025-07-01,inside,Crepe Yarns,6,6.0,31.4,9.0,"stalk3-4p,wknd fnl1/8",crepe yarns,Fairmount Park,5.0,"Ortiz, Alvin","Laux, Clay",Karry Voss,ADD TO CART
Fairmount Park,2025-07-01,inside,Argybargy Buck,5,2.0,33.8,5.0,"bid3p3/8,6p lane, 1 pace",argybargy buck,Fairmount Park,2.0,"Simpson, Javour","Martinez-Linares, Gerardo",Jayson Velazquez,ADD TO CART
Fairmount Park,2025-07-01,inside,I'm Your Valentine,6,4.0,41.0,6.0,"3p,swung7p lane,no bid",i'm your valentine,Fairmount Park,2.0,"Santos, Ademar","Martinez-Linares, Gerardo",Cristian Almaraz Barrera,ADD TO CART
Prairie Meadows,2025-07-06,inside,Hard Spirits,5,2.0,12.4,4.0,"3-4wbid,along for shw",hard spirits,Prairie Meadows,10.0,"Corbett, Glenn","Von Hemel, Kelly",Larry Cascio,ADD TO CART
Saratoga,2025-07-04,inside,American Monarch,11,8.0,28.75,10.0,"3-2w in aim, weakened",american monarch,Ellis Park,6.0,"Torres, Jaime","Mott, William",Mike G. Rutherford,ADD TO CART
