track_name,date,bias_type,horse_name,pp,fin,odds,odds_rank,comment
Assiniboia Downs,2025-07-01,inside,Drill Baby Drill,6,4.0,25.85,6.0,stalked duel otsd
Assiniboia Downs,2025-07-08,inside,DQ-I Am Mila,7,1.0,4.55,3.0,"stk duel otsd,drftd in"
Assiniboia Downs,2025-07-08,inside,Midnightcandystorm,4,3.0,8.7,6.0,"otsd turn, fin well"
Assiniboia Downs,2025-07-08,inside,Meko Makee,7,1.0,7.95,4.0,pace score otsd
Assiniboia Downs,2025-07-08,inside,Best of Greeley,5,3.0,8.6,5.0,"insd, show rally"
Assiniboia Downs,2025-07-08,inside,Ethan's Animal,8,7.0,74.4,9.0,"5-wde, lacked rly"
Assiniboia Downs,2025-07-08,inside,Island High,5,2.0,9.45,7.0,"4-wd, place rly"
Assiniboia Downs,2025-07-08,inside,Aunt Irene,10,3.0,20.5,8.0,"4-5-wd,rly, late bid"
Assiniboia Downs,2025-07-08,inside,Reserve Proof,6,7.0,105.65,10.0,"bmpd brk, 4-wd"
Assiniboia Downs,2025-07-08,inside,Pickin' Riffs,8,2.0,10.95,4.0,"off rail, insd rally"
Assiniboia Downs,2025-07-08,inside,Hot Cake,9,6.0,50.05,8.0,"pressed 4-wd, tired"
Belterra Park,2025-07-03,inside,Mithridates,4,1.0,5.3,3.0,"2wd turn,rail lane"
Belterra Park,2025-07-03,inside,Knightofcaravaggio,7,1.0,5.0,3.0,"rail,angled 1/8,up"
Belterra Park,2025-07-03,inside,Factisimflashy,4,2.0,8.3,5.0,"rail, willing finish"
Belterra Park,2025-07-03,inside,Isa Lei,9,7.0,58.8,9.0,"rushed early, tired"
Belterra Park,2025-07-09,inside,Wild Rover Lady (IRE),5,3.0,7.2,5.0,"3wd bid, tired"
Belterra Park,2025-07-11,inside,Ahumado,4,3.0,6.9,5.0,"rail lane,flattned out"
Belterra Park,2025-07-11,inside,Motor City Menace,5,3.0,9.0,5.0,late rally outside
Camarero Race Track,2025-07-03,inside,Transistora,4,2.0,9.1,5.0,"second best, no match"
Camarero Race Track,2025-07-03,inside,Rodnavit,4,1.0,3.6,4.0,"closebnwn,insD,"
Camarero Race Track,2025-07-03,inside,La Lollipop,5,3.0,45.15,6.0,"off,7w, late gain"
Camarero Race Track,2025-07-05,inside,Awesome Discount,6,5.0,34.9,9.0,"brief speed, dropped b"
Camarero Race Track,2025-07-05,inside,Full of Mischief,5,6.0,40.65,11.0,through after half
Camarero Race Track,2025-07-05,inside,Awesome Discount,6,5.0,34.9,9.0,"brief speed, dropped b"
Camarero Race Track,2025-07-05,inside,Full of Mischief,5,6.0,40.65,11.0,through after half
Camarero Race Track,2025-07-05,inside,Playin Rock,4,3.0,4.2,5.0,improved position
Camarero Race Track,2025-07-05,inside,My Keen Son,5,3.0,3.35,5.0,steady attack outside
Camarero Race Track,2025-07-05,inside,Ciribillo,4,6.0,60.65,13.0,failed to menace
Camarero Race Track,2025-07-05,inside,Brucie Baby,7,7.0,44.1,11.0,dropped back
Camarero Race Track,2025-07-05,inside,My Keen Son,5,3.0,3.35,5.0,steady attack outside
Camarero Race Track,2025-07-05,inside,Ciribillo,4,6.0,60.65,13.0,failed to menace
Camarero Race Track,2025-07-05,inside,Brucie Baby,7,7.0,44.1,11.0,dropped back
Camarero Race Track,2025-07-05,inside,Vuelvedivinovuelve,5,3.0,7.15,13.0,"off pace, best of rest"
Camarero Race Track,2025-07-05,inside,Vuelvedivinovuelve,5,3.0,7.15,13.0,"off pace, best of rest"
Camarero Race Track,2025-07-05,inside,Carly and Mitzy,6,3.0,19.15,11.0,"back,short2d"
Camarero Race Track,2025-07-05,inside,Carly and Mitzy,6,3.0,19.15,11.0,"back,short2d"
Canterbury Park,2025-07-09,inside,Annaline,5,2.0,14.1,5.0,"led,dueld,yielded late"
Canterbury Park,2025-07-09,inside,Lord Sheldon,4,4.0,8.8,6.0,"angled out, mild bid"
Canterbury Park,2025-07-09,inside,Capture the Time,5,5.0,18.9,7.0,nothing left for drive
Canterbury Park,2025-07-09,inside,Pareto's Principle,5,2.0,6.7,4.0,"outside trip, up place"
Canterbury Park,2025-07-12,inside,Ruby's Posse,6,2.0,5.2,4.0,"3-4wd,bumped upper"
Canterbury Park,2025-07-12,inside,Wildcat Minny,5,3.0,10.7,5.0,"checked,in tight 5/8"
Canterbury Park,2025-07-12,inside,Miss Stilettos,4,6.0,43.5,8.0,"off duel,angl 4w,wkn"
Century Mile,2025-07-04,inside,Self Serving,5,1.0,7.7,4.0,"stalked4-5w,lackedclse"
Century Mile,2025-07-04,inside,Omegasshootingstar,6,4.0,48.65,8.0,late bid
Century Mile,2025-07-04,inside,Point to the Stars,6,4.0,18.0,8.0,"urged,3w,weakened"
Colonial Downs,2025-07-09,outside,Wickedwithbourbon,3,2.0,5.6,4.0,"2p,no match,held place"
Colonial Downs,2025-07-09,outside,Squirrely,2,4.0,12.2,8.0,"2p,bump8p upr,improve"
Colonial Downs,2025-07-09,outside,Wunderkind,2,4.0,17.3,6.0,"ins,cued3/16,edged out"
Colonial Downs,2025-07-12,outside,Barbados Bulldog,3,2.0,16.0,5.0,"rail,led 1/16,game"
Del Mar,2025-07-18,outside,Zimba Warrior,3,5.0,13.7,8.0,"2w-ins,tip out,improvd"
Del Mar,2025-07-18,outside,Runkerry,3,5.0,51.6,10.0,"inside-2wd, no rally"
Delaware Park,2025-07-04,inside,Woke Up in Love,5,1.0,6.7,5.0,"pinch, trail most"
Delaware Park,2025-07-04,inside,Ful of Shenanigans,6,1.0,22.8,7.0,led throughout
Delaware Park,2025-07-04,inside,Sweet and Feisty,7,5.0,107.0,10.0,"bobl, ins, improved"
Delaware Park,2025-07-04,inside,Sir Banana Brian,4,3.0,6.7,5.0,"stmbl, adv3w, no close"
Delaware Park,2025-07-04,inside,White Series,4,2.0,10.5,5.0,"3p, bid, no match"
Delaware Park,2025-07-04,inside,Fiveclocksomewhere,4,1.0,3.4,3.0,"2p, led 5/8, kick clr"
Ellis Park,2025-07-12,inside,Midnight Boss,8,3.0,16.6,8.0,"4-3w,ranon btw,mss plC"
Ellis Park,2025-07-12,inside,Purse Thief,4,4.0,9.02,6.0,"hustld,chasd 3p,mildly"
Ellis Park,2025-07-12,inside,Ludwig,7,1.0,3.17,3.0,"led 2w,btw,dueld,game"
Ellis Park,2025-07-12,inside,Storm the Streets,6,2.0,7.15,4.0,"4w,bid 5/16,dueld,miss"
Ellis Park,2025-07-12,inside,Last Curtain Call,5,3.0,11.65,6.0,"beat slw,6p3/16,willng"
Ellis Park,2025-07-12,inside,Go Go Playmate,8,4.0,13.15,8.0,"track 5w,took aim,tire"
Ellis Park,2025-07-12,inside,Cup of Coffee,4,7.0,24.94,9.0,"lean in st,4p,improved"
Ellis Park,2025-07-12,inside,Wonder of You,5,1.0,6.37,5.0,"press 2w,drove clear"
Ellis Park,2025-07-12,inside,Carolina Smokeshow,7,2.0,3.83,4.0,"off slow,6-8p1/8,rally"
Ellis Park,2025-07-12,inside,Indescribable,6,3.0,20.19,7.0,"3w-4p,up plc,chsd,cght"
Ellis Park,2025-07-12,inside,Many Mo Kisses,8,3.0,17.15,8.0,"gain 4w-ins,bid,outtck"
Ellis Park,2025-07-12,inside,Cocktail Humor,4,3.0,9.69,7.0,"ins foe,cleard,wkn btw"
Ellis Park,2025-07-12,inside,Sr. Mary Margaret,10,1.0,23.32,9.0,"ins,shuffled/steady3/8"
Ellis Park,2025-07-12,inside,Bullet Baby,6,1.0,26.0,10.0,"chased 4p,wknd 5-6p1/4"
Ellis Park,2025-07-14,inside,Good Bali,5,2.0,10.51,6.0,"5wd1/4,lng drv,gave in"
Ellis Park,2025-07-14,inside,Hylla,4,3.0,5.53,5.0,"track 3w, 3p upr, wknd"
Ellis Park,2025-07-14,inside,Miacomet,4,2.0,5.39,4.0,"4p upr, rally, gaining"
Emerald Downs,2025-07-12,inside,Bewitching Joy,7,2.0,7.98,5.0,"6-w, full of run"
Emerald Downs,2025-07-12,inside,Roper,5,1.0,4.6,3.0,"3,5-w, just up"
Emerald Downs,2025-07-12,inside,K R Rules,7,3.0,19.24,8.0,"6-w, finished fast"
